"","ID","name","genre","editor","dev","year","platform","period","link","addon"
"1",1,"1066","stratégie","Channel Four Television","Preloaded","2009","navigateur internet","moyen-âge","http://www.histogames.com/HTML/inventaire/fiche_game/0-9/1066.php","games"
"2",1,"1066","stratégie","Channel Four Television","Preloaded","2009","navigateur internet","invasions vikings","http://www.histogames.com/HTML/inventaire/fiche_game/0-9/1066.php","games"
"3",3,"12 O'Clock High : Bombing the Reich","stratégie","Take Two Interactive","Talonsoft","1999","windows","deuxième guerre mondiale","http://www.histogames.com/HTML/inventaire/fiche_game/0-9/12-o-clock-high-bombing-the-reich.php","games"
"4",3,"12 O'Clock High : Bombing the Reich","stratégie","Take Two Interactive","Talonsoft","1999","windows","front ouest","http://www.histogames.com/HTML/inventaire/fiche_game/0-9/12-o-clock-high-bombing-the-reich.php","games"
"5",3,"12 O'Clock High : Bombing the Reich","stratégie","Take Two Interactive","Talonsoft","1999","windows","front est","http://www.histogames.com/HTML/inventaire/fiche_game/0-9/12-o-clock-high-bombing-the-reich.php","games"
"6",3,"12 O'Clock High : Bombing the Reich","stratégie","Take Two Interactive","Talonsoft","1999","windows","front africain","http://www.histogames.com/HTML/inventaire/fiche_game/0-9/12-o-clock-high-bombing-the-reich.php","games"
"7",4,"1552 Tenka Tairan","stratégie","Ask Kodansha","Ask Kodansha","1993","pc-engine","sengoku jidai","http://www.histogames.com/HTML/inventaire/fiche_game/0-9/1552-tenka-tairan.php","games"
"8",5,"1848 Hungarian War of Independence","stratégie","Matrix Games","Hussar Games","2006","windows","epoque contemporaine","http://www.histogames.com/HTML/inventaire/fiche_game/0-9/1848.php","games"
"9",6,"1914 Shells of Fury","simulation","Strategy First","h2f Informationssysteme GmbH","2007","windows","première guerre mondiale","http://www.histogames.com/HTML/inventaire/fiche_game/0-9/1914-shells-of-fury.php","games"
"10",7,"1942 : The Pacific Air War","simulation","MicroProse","MicroProse","1994","dos","deuxième guerre mondiale","http://www.histogames.com/HTML/inventaire/fiche_game/0-9/1942-the-pacific-air-war.php","games"
"11",7,"1942 : The Pacific Air War","simulation","MicroProse","MicroProse","1994","dos","front du pacifique","http://www.histogames.com/HTML/inventaire/fiche_game/0-9/1942-the-pacific-air-war.php","games"
"12",8,"1944 : Across the Rhine","simulation","MicroProse","MicroProse","1995","dos","deuxième guerre mondiale","http://www.histogames.com/HTML/inventaire/fiche_game/0-9/1944-across-the-rhine.php","games"
"13",8,"1944 : Across the Rhine","simulation","MicroProse","MicroProse","1995","dos","front ouest","http://www.histogames.com/HTML/inventaire/fiche_game/0-9/1944-across-the-rhine.php","games"
"14",9,"1944 : Campagne des Ardennes","stratégie","Monte Cristo Multimédia","Intex Publishing","2005","windows","deuxième guerre mondiale","http://www.histogames.com/HTML/inventaire/fiche_game/0-9/1944-campagne-des-ardennes.php","games"
"15",9,"1944 : Campagne des Ardennes","stratégie","Monte Cristo Multimédia","Intex Publishing","2005","windows","front ouest","http://www.histogames.com/HTML/inventaire/fiche_game/0-9/1944-campagne-des-ardennes.php","games"
"16",10,"3-D Dinosaur Adventure","aventure","Knowledge Adventure","Knowledge Adventure","1993","dos","préhistoire","http://www.histogames.com/HTML/inventaire/fiche_game/0-9/3-D-dinosaur-adventure.php","games"
"17",11,"9ème Compagnie","stratégie","ND Games","Lesta Studio","2008","windows","guerre froide","http://www.histogames.com/HTML/inventaire/fiche_game/0-9/9eme-compagnie.php","games"
"18",11,"9ème Compagnie","stratégie","ND Games","Lesta Studio","2008","windows","première guerre afghanistan","http://www.histogames.com/HTML/inventaire/fiche_game/0-9/9eme-compagnie.php","games"
"19",12,"Achtung Panzer : Kharkov 1943","stratégie","Paradox Interactive","Graviteam","2010","windows","deuxième guerre mondiale","http://www.histogames.com/HTML/inventaire/fiche_game/serie_achtungpanzer/Achtung-panzer-kharkov-1943.php","games"
"20",12,"Achtung Panzer : Kharkov 1943","stratégie","Paradox Interactive","Graviteam","2010","windows","front est","http://www.histogames.com/HTML/inventaire/fiche_game/serie_achtungpanzer/Achtung-panzer-kharkov-1943.php","games"
"21",13,"Achtung Spitfire","stratégie","Avalon Hill","Big Time Software","1997","windows","deuxième guerre mondiale","http://www.histogames.com/HTML/inventaire/fiche_game/serie_overthereich/Achtung-spitfire.php","games"
"22",13,"Achtung Spitfire","stratégie","Avalon Hill","Big Time Software","1997","windows","front ouest","http://www.histogames.com/HTML/inventaire/fiche_game/serie_overthereich/Achtung-spitfire.php","games"
