platform,type
3do,home
atari 2600,home
mega-cd,home
mods,computer
cd-i,home
game gear,mobile
master system,home
pc-88,computer
game boy color,mobile
nintendo 3ds,mobile
nintendo wii u,home
zx spectrum,computer
dreamcast,home
msx,computer
psvita,mobile
saturn,home
game boy,mobile
atari 8-bit,computer
gba,mobile
pc-98,computer
megadrive,home
atari,home
gamecube,home
xbox one,home
navigateur internet,computer
amstrad,computer
nes,home
apple ii,computer
ps4,home
atari st,computer
snes,home
linux,computer
c64,computer
nintendo wii,home
nintendo ds,mobile
ps1,home
psp,mobile
xbox,home
amiga,computer
ps2,home
ps3,home
xbox 360,home
dos,computer
mac,computer
windows,computer
